,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
220,c098e153-5bf1-43a4-93d8-4de29397f638,problog,7,4,9,0,4,0,5,9
221,fd0cdba5-b8ee-4970-b961-bec9c394197b,problog,7,8,8,0,1,3,4,9
222,7f345c38-3304-4a5a-9113-2ff0bbf51e19,problog,6,4,5,3,2,0,5,9
223,aefd7603-c0e7-41a7-8d6a-55c3e9266f0b,problog,5,4,7,4,3,1,5,9
224,380c79db-075a-44a5-a9c3-da667187665f,problog,7,4,7,0,3,0,4,9
225,544088b6-918a-43ba-b9ea-33b534827d8a,problog,2,3,11,4,1,1,6,9
226,43dd3743-2763-456c-a89f-5b83365524c6,problog,4,4,8,1,2,0,5,9
227,c97e8bd3-49b5-4374-a575-13d23ea8a8f1,problog,6,4,10,1,3,0,6,9
228,f6d42137-c819-4710-b06c-abeb3cc2d464,problog,8,5,9,0,3,3,4,11
229,8c45fabc-c45a-4616-894d-3c572d2eba1d,problog,5,7,4,3,1,1,5,9
230,9ebe5101-b9f7-454f-a8af-74c176b59031,problog,5,3,11,3,2,0,7,9
231,7dce14af-64ec-4109-96a8-40aec28c575d,problog,6,11,6,0,1,3,4,9
232,7749b8d5-d566-4c1f-8dce-debae86cc224,problog,8,9,3,2,3,3,3,9
233,64fb8252-185e-4a47-a0d1-80c9dd0f5c74,problog,5,5,10,1,2,0,7,9
234,b5568002-7e27-41fe-b91e-8d557e70026f,problog,5,6,7,2,2,3,3,9
235,d399e31d-a5eb-4123-8ae4-3dca6023d82b,problog,6,4,6,1,2,1,4,9
236,027fabc4-29ca-4cbf-93b1-1dfb43a98483,problog,6,6,8,1,2,0,6,9
237,23fb523e-3c8d-4d23-a676-035935a4b303,problog,5,4,13,0,1,2,5,9
238,5c3b1c82-c9e0-4151-a57e-7d205f06a321,problog,5,7,6,1,0,1,6,9
239,882ecc65-c816-4d9e-b96f-98753edad1c7,problog,7,1,10,3,3,1,5,9
240,3e9b917b-fe75-4754-9cdb-2402e679bbfc,problog,7,5,7,3,2,4,2,9
241,094c12a1-c36f-4bd7-a34b-f695a21e09e4,problog,6,4,9,3,2,3,3,9
242,2dc0bdd1-7f4a-45d7-b4dc-5efcfa74d4e8,problog,4,8,7,1,1,2,5,9
243,539b0d76-934e-49f7-b48d-51a2cff737de,problog,6,2,9,3,1,0,6,9
244,2422c3eb-208c-4494-94b2-cc45c1b87ac6,problog,7,4,7,2,2,0,6,9
245,f7170e47-9d4e-4407-91a8-deedecafde07,problog,2,7,10,0,1,1,6,9
246,621e64e2-8478-4922-bb50-e4c24aa82f94,problog,5,7,7,1,1,0,7,9
247,cd16309a-d7f7-422b-84c8-b89a0a38f282,problog,8,4,5,3,2,0,5,9
248,295a03f2-6b51-4fdf-9767-7359d3b7c1ad,problog,7,4,8,2,2,1,5,9
249,ce6c3ac9-5484-49ca-a52f-61da028cde96,problog,4,4,8,3,1,2,6,11
250,29a19cd1-9fcb-4fcc-b214-030d02803ca0,problog,7,10,3,0,5,5,2,13
251,c3349b60-c87e-43e4-a31e-70dbac1d3749,problog,5,4,9,2,1,0,6,9
252,1248ecfe-b52c-4e63-a113-23d60f7f5f9e,problog,6,3,9,2,2,1,5,9
253,b50b60ca-8aa7-4651-af24-28e25eef96b3,problog,7,5,7,1,3,1,5,9
254,44d376ae-49ab-4cda-858a-8974b037ac25,problog,4,5,7,2,1,0,6,9
255,6c0ae806-bf4a-4570-8020-613e70d1b517,problog,9,3,7,1,4,1,5,11
256,1b9bd799-1816-4751-8742-59e21f912d36,problog,5,2,7,2,1,0,6,9
257,a6c3dce7-7da8-43c4-b103-4fc58f11eb60,problog,8,6,6,1,3,3,3,11
258,854cb05b-9f96-4773-9b06-14edf89ad3c7,problog,7,6,7,2,2,1,5,9
259,674fef98-63c5-46fc-9af0-49b68628065d,problog,5,3,9,1,1,0,6,9
260,c115fa0f-99b3-4ba6-891d-e130c3a5b6c4,problog,3,9,5,1,2,2,5,11
261,9e9847e8-bf62-471d-aa98-70b1cadc370f,problog,7,5,8,1,1,0,6,9
262,3d882b3c-9620-48c3-aeca-a800eb330240,problog,7,6,6,2,2,0,6,9
263,855fd08b-213d-4e05-94c2-a38d1c3812b3,problog,8,8,6,1,3,3,4,11
264,cd82234e-4a9c-4b3f-8911-782ae636e413,problog,9,7,3,1,5,0,3,9
265,0d637b8c-691a-46cb-92d2-622542bb9304,problog,6,6,8,1,0,2,5,9
266,ce55a6b2-d040-4ae3-93fa-8fc3228def36,problog,4,5,11,2,3,0,6,9
267,f218a376-9377-40bb-8eae-f70220c35c87,problog,4,6,9,1,1,1,6,9
268,7dbbb212-ceb9-4469-a46e-419ba6d0078e,problog,4,9,6,0,2,3,4,11
269,05482206-dc89-4c73-8e74-69fdefcb5fe0,problog,5,2,10,4,2,0,6,9
270,1861235c-9837-47f5-931b-554c63a8c661,problog,6,4,4,3,4,4,4,13
