,id,alg,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
200,8fda333d-0cb9-488a-a10f-af0c0019a098,AldousBroder,4,11,0,0,2,6,0,13
201,32a6a632-a1fe-43aa-84dd-142b0eb84d17,AldousBroder,4,9,1,0,1,5,1,13
202,009e48b9-358d-465c-89aa-fda2b7ae642b,AldousBroder,4,11,0,0,3,6,0,13
203,137df3c6-31c5-4db4-b69c-7ee1ce5ea72f,AldousBroder,4,9,1,0,4,4,1,13
204,4e07e7a7-a82c-4ae4-9cf4-75de588c82b1,AldousBroder,4,11,0,0,4,11,0,21
205,4fc546e9-2dc1-43bb-ad42-a3d4ec50292e,AldousBroder,3,10,1,0,3,6,0,13
206,dd09a91c-4d93-4933-92c5-e392dadd98ff,AldousBroder,4,11,0,0,4,5,0,13
207,0fa970b3-c51c-4c2b-8956-e329f9a6d0c2,AldousBroder,4,9,1,0,3,4,1,13
208,ec9300d1-90bb-4db2-9187-9f66b8935030,AldousBroder,5,10,0,0,2,6,0,13
209,2826060c-4030-4ce4-b3a7-f1004ab5dd62,AldousBroder,4,9,1,0,4,4,1,13
210,6a2d03dc-6e27-4d43-8bbe-4e122792916f,AldousBroder,4,11,0,0,3,6,0,13
211,54d25517-533d-4626-9732-ff6383540549,AldousBroder,4,9,1,0,3,4,1,13
212,e7c37ded-9344-406a-8cbd-0bffad22a9af,AldousBroder,3,8,2,0,1,4,2,13
213,99063f2c-dc76-4b24-8b46-2aba31f4cbae,AldousBroder,4,11,0,0,2,6,0,13
214,8e66d78c-8a9d-4267-8255-a80cf7da7e38,AldousBroder,4,9,1,0,4,4,1,13
215,2bfb9755-d44a-4e71-b2a6-d6acdf0e4c23,AldousBroder,4,11,0,0,4,11,0,21
216,4c490ac2-0b35-4d53-9aee-8a1ee053636c,AldousBroder,4,9,1,0,1,5,1,13
217,3e642461-d1a3-4743-9208-42bcf06be220,AldousBroder,5,10,0,0,2,6,0,13
218,f151b887-1b0f-419e-9b12-0f5f2fbd48da,AldousBroder,5,10,0,0,2,6,0,13
219,0f8972e8-0206-470f-a3af-bfacaeb0e333,AldousBroder,3,8,2,0,2,4,2,13
220,63bbb5d5-1495-49ce-b70b-97876f578995,AldousBroder,4,11,0,0,3,6,0,13
221,c62d52ea-126a-403e-b7b8-494fa78d50b5,AldousBroder,5,10,0,0,2,6,0,13
222,bf700bb8-101d-4db7-a062-a4b3335c2b7b,AldousBroder,5,10,0,0,5,7,0,17
223,d841de28-4b94-4b1f-9148-f08d2d252c9a,AldousBroder,4,9,1,0,4,7,1,17
224,8fe05cef-534d-494c-ba3a-4bb1c496f8b8,AldousBroder,4,9,1,0,1,5,1,13
225,0d0a474e-ae43-4726-9b44-54e19eac875b,AldousBroder,5,10,0,0,2,6,0,13
226,554776b5-b280-473b-ba0c-a09b52a3b59d,AldousBroder,4,9,1,0,4,4,1,13
227,6ab94169-9b33-4fcc-88c7-7c3a29b18689,AldousBroder,3,10,1,0,2,5,1,13
228,af5c950c-ed1a-4b82-9fa9-d255cf274abc,AldousBroder,4,9,1,0,4,7,1,17
229,95d5e576-dc7f-44e8-ae22-a9013819d2b4,AldousBroder,4,11,0,0,3,6,0,13
