,id,alg,hash,cell_type_maze_tu,cell_type_maze_s,cell_type_maze_T,cell_type_maze_c,sol_type_maze_tu,sol_type_maze_s,sol_type_maze_d,sol_type_maze_len
1673,f08fc540-3d6d-464c-8d22-17a41af40af2,asp,17cc6af624a0576b1453ecf5015a419e,2,13,5,0,2,3,3,9
1674,b370c548-2461-4b77-b3b6-29ef5810aa8e,asp,44d1049fdad1c4f17a1924e74978c215,4,6,5,1,2,2,4,9
1675,1238e44f-9c66-4f2a-9a04-0c01628ac99a,asp,445e20f0a11f5dbabdb4c6de94a69f75,6,3,5,2,2,1,5,9
1676,450441e7-2835-4d36-8cc2-26b2101a4e48,asp,0bf09869f5c897aeeb2157f184ac3b06,7,6,3,2,2,2,4,9
1677,fe0b793e-2100-42a2-80a6-24e4a3b8abcf,asp,7bbe84293985ac31697f0ea334eb00a8,7,6,6,0,1,2,4,9
1678,fdbe48e8-5ede-4eb8-91ec-b403c0184c44,asp,0fde1483a9eaa8920c43231a708ce18a,4,11,5,0,4,3,3,11
1679,dedf4f74-aa33-4e7d-9e12-bdb131cebf79,asp,4961b62a760a3ea8ade96acac791c48c,2,10,5,1,1,2,6,11
1680,34d449de-1cd4-4f77-b25c-63bddd1cecf2,asp,0bf09869f5c897aeeb2157f184ac3b06,7,6,3,2,2,2,4,9
1681,092a984f-198b-41ec-8b28-950e78554615,asp,445e20f0a11f5dbabdb4c6de94a69f75,6,3,5,2,2,1,5,9
1682,9e248a17-faa6-4e38-ab13-dc9995fd1545,asp,946e0480e496830cba940063a18aea50,4,9,6,0,2,2,4,9
1683,23dacafa-773f-4969-aa7c-2a0510c960e2,asp,52fb9ee006dc1f7822181d832bf9a47e,3,9,5,1,1,3,4,9
1684,a57a4b97-2582-4f1e-a6ef-d614d791dfaf,asp,fea4570b3ae203ad4f3fc5ab29871383,4,15,3,0,2,3,3,9
1685,7a760942-237f-40ce-9526-07a3cd629d94,asp,472f6c5c2bfd47368fd3f4f25c70122e,2,7,8,0,2,4,7,15
1686,b915f887-110d-4ba1-847c-3e5bb6550c5f,asp,88a486f48ddd34d6967206e1049bf13e,4,4,7,1,1,0,7,9
1687,87c6659a-7493-4df2-a25a-68ee99062c95,asp,c66a4f3ac6dfe4c933303defa9e92f37,7,7,4,1,4,3,1,9
1688,d31da1ca-3f0f-43c4-99d7-195189780959,asp,83e1363803dfbef4e519709275d59536,4,5,5,2,2,1,4,9
1689,2cee8486-c665-4068-8191-e4ebf7929d05,asp,d66322a496214728a811bc74fe682743,3,4,6,2,1,2,5,9
1690,b386c384-6cd8-4912-9fad-aeed4d780db4,asp,d3e7f3df96cf7a7da7ea924351366342,4,11,5,0,4,5,3,13
1691,4c7737e7-302a-4a54-ae01-5d6d916fd70c,asp,fe773bf21557dc3c4928872a04b20c5b,3,6,7,0,3,3,5,13
1692,efcf35d1-78f8-4565-82b8-e4583c1434a5,asp,74f112d72e5b25e4884f7a1715fc543c,8,5,3,2,2,2,4,9
1693,8892fb3e-d988-4acc-bd60-d7acd0497041,asp,bd101afb797a44be8dbfe1250c0bc4d8,4,8,5,1,1,1,5,9
1694,bfaa04b3-d780-4d89-aaf0-c353ae042927,asp,730f6231eaab6631d71def4ca2645016,4,11,5,0,4,3,3,11
1695,e4cbfa09-abfa-4c65-b38a-39d6e6a70059,asp,73af1137dabee21b496a6633e9db232a,5,10,2,2,2,2,4,9
1696,37db6495-2d13-4a12-afe5-be26b27d5483,asp,f2552984f7b69a7c43fc82c1b2833497,4,13,4,0,4,3,2,9
1697,4b052530-57da-4526-8e21-8273fef51410,asp,fd80acbe411351135b92faf761b8d4f0,4,7,7,0,1,2,4,9
